R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP
860.00,236.00,736.00,143.00,0.34,1992.00,132.00,100.00,3.77,1.22
917.00,311.00,851.00,124.00,0.37,1691.00,95.00,122.00,3.91,1.21
885.00,319.00,862.00,80.00,0.37,1765.00,120.00,97.00,4.13,1.27
884.00,290.00,907.00,79.00,0.36,2142.00,121.00,28.00,4.00,1.24
890.00,254.00,802.00,52.00,0.36,2032.00,121.00,124.00,4.04,1.24
882.00,274.00,817.00,91.00,0.36,2094.00,117.00,109.00,4.45,1.26
756.00,248.00,762.00,59.00,0.34,1379.00,74.00,58.00,4.43,1.29
759.00,266.00,790.00,72.00,0.33,1991.00,152.00,35.00,3.89,1.26
737.00,202.00,699.00,89.00,0.32,1525.00,101.00,52.00,4.09,1.24
720,218,703,86,0.3307,1891,108,102,4.039,1.224
